track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,date,rank,last-week,peak-rank,weeks-on-board
El Azul,"Junior H, Peso Pluma",354495408,6,62,2.0,2023.0,2.0,10.0,692.0,25.0,10.0,107.0,3.0,144.0,A,Minor,56.0,84.0,65.0,23.0,0.0,10.0,6.0,?,,,,
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2808096550,843,69,2.0,2018.0,10.0,9.0,24094.0,78.0,372.0,117.0,4.0,90.0,D,Major,76.0,91.0,50.0,54.0,0.0,7.0,5.0,?,,,,
I'm Good (Blue),"Bebe Rexha, David Guetta",1109433169,537,727,2.0,2022.0,8.0,26.0,12482.0,80.0,291.0,184.0,45.0,128.0,G,Minor,56.0,38.0,97.0,4.0,0.0,35.0,4.0,?,,,,
See You Again,"Tyler, The Creator, Kali Uchis",1047101291,247,311,3.0,2017.0,7.0,21.0,13387.0,64.0,77.0,58.0,1.0,79.0,F#,Major,56.0,58.0,56.0,37.0,0.0,11.0,10.0,?,,,,
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",65156199,65,"1,133",3.0,2023.0,6.0,23.0,1117.0,80.0,82.0,145.0,16.0,144.0,,Major,77.0,75.0,58.0,52.0,0.0,23.0,25.0,?,,,,
Angels Like You,Miley Cyrus,570515054,138,102,1.0,2020.0,11.0,27.0,3372.0,19.0,65.0,48.0,1.0,122.0,F,Major,67.0,49.0,64.0,10.0,0.0,10.0,3.0,?,,,,
I Ain't Worried,OneRepublic,1085685420,458,332,1.0,2022.0,5.0,13.0,8431.0,76.0,241.0,127.0,37.0,140.0,,Major,71.0,82.0,81.0,11.0,0.0,6.0,5.0,?,,,,
Die For You,The Weeknd,1647990401,24,259,1.0,2016.0,11.0,24.0,2483.0,59.0,68.0,21.0,0.0,134.0,C#,Minor,59.0,51.0,52.0,9.0,0.0,15.0,7.0,2016-12-31 00:00:00,93.0,71.0,43.0,3.0
Starboy,"The Weeknd, Daft Punk",2565529693,"2,445",140,2.0,2016.0,9.0,21.0,29536.0,79.0,281.0,137.0,1.0,186.0,G,Major,68.0,49.0,59.0,16.0,0.0,13.0,28.0,?,,,,
Die For You - Remix,"Ariana Grande, The Weeknd",518745108,74,16,2.0,2023.0,2.0,24.0,3408.0,47.0,87.0,86.0,1.0,67.0,C#,Minor,53.0,50.0,53.0,23.0,0.0,44.0,7.0,?,,,,
